City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Santa Rosa,PH,14.3122,121.1114,80.58,88,100,4.07,overcast clouds
228,Saint-Philippe,RE,-21.3585,55.7679,80.19,80,51,5.26,light rain
229,Mecca,SA,21.4267,39.8261,75.85,35,100,2.57,overcast clouds
230,Bom Jesus,BR,-9.0744,-44.3586,89.46,43,27,6.22,scattered clouds
231,Balykshi,KZ,47.0667,51.8667,33.8,86,75,11.18,mist
232,Pardina,RO,45.3064,28.9569,48.79,62,13,9.78,few clouds
233,Benguela,AO,-12.5763,13.4055,81.45,67,96,11.03,overcast clouds
234,Ca Mau,VN,9.1769,105.15,74.46,71,100,1.14,overcast clouds
235,Port-Cartier,CA,50.0334,-66.8654,2.75,80,100,4.52,overcast clouds
236,Rudnogorsk,RU,57.2639,103.7519,7.79,89,100,11.14,overcast clouds
237,Faanui,PF,-16.4833,-151.75,80.74,73,57,14.07,broken clouds
238,Cherskiy,RU,68.75,161.3,-41.89,100,98,3.42,overcast clouds
239,Bullhead City,US,35.1478,-114.5683,57.72,84,100,0.0,overcast clouds
240,Yar-Sale,RU,66.8333,70.8333,-27.18,100,68,3.67,broken clouds
241,Agadir,MA,30.4202,-9.5982,75.65,30,18,5.88,few clouds
242,Beira,MZ,-19.8436,34.8389,84.42,59,0,13.11,clear sky
243,Sandakan,MY,5.8402,118.1179,77.07,86,77,5.77,broken clouds
244,Acari,PE,-15.4311,-74.6158,74.21,76,99,5.59,overcast clouds
245,Kudahuvadhoo,MV,2.6708,72.8944,81.07,69,94,6.8,overcast clouds
246,Nizhniy Kuranakh,RU,58.8353,125.4869,-11.13,98,100,2.44,overcast clouds
247,Nelson Bay,AU,-32.7167,152.15,72.09,92,100,13.0,overcast clouds
248,Krasnoselkup,RU,65.7,82.4667,-18.42,100,94,3.36,overcast clouds
249,Nipawin,CA,53.3668,-104.0009,-2.16,78,100,3.44,overcast clouds
250,Sao Joao Da Barra,BR,-21.6403,-41.0511,79.3,76,100,9.01,overcast clouds
251,Rocha,UY,-34.4833,-54.3333,73.85,29,10,15.68,clear sky
252,Tuy Hoa,VN,13.0833,109.3,70.83,91,99,12.55,overcast clouds
253,Maniitsoq,GL,65.4167,-52.9,15.55,73,51,9.84,broken clouds
254,Touros,BR,-5.1989,-35.4608,85.35,60,28,13.15,scattered clouds
255,Mangalam,IN,9.7667,78.6667,77.74,75,10,10.0,clear sky
256,Batagay,RU,67.6333,134.6333,-18.29,99,100,3.27,overcast clouds
257,Ancud,CL,-41.8697,-73.8203,57.96,62,13,5.64,few clouds
258,Mehamn,NO,71.0357,27.8492,24.75,58,100,24.16,overcast clouds
259,Vardo,NO,70.3705,31.1107,17.58,86,20,39.12,few clouds
260,Husavik,IS,66.0449,-17.3389,19.58,77,100,10.6,light snow
261,Denpasar,ID,-8.65,115.2167,78.46,94,40,4.61,scattered clouds
262,Mumford,GH,5.2618,-0.759,84.02,61,54,11.41,broken clouds
263,Chifeng,CN,42.2683,118.9636,11.35,50,0,6.44,clear sky
264,Buala,SB,-8.145,159.5921,78.98,81,100,1.14,light rain
265,Vangaindrano,MG,-23.35,47.6,80.24,74,1,11.14,clear sky
266,Gualaquiza,EC,-3.4,-78.55,73.35,63,87,1.83,overcast clouds
267,Paita,PE,-5.0892,-81.1144,71.42,74,82,10.11,broken clouds
268,Zhigansk,RU,66.7697,123.3711,-18.83,96,99,13.69,overcast clouds
269,Mangrol,IN,21.1167,70.1167,73.17,62,1,13.2,clear sky
270,Kamariotissa,GR,40.4833,25.4667,51.64,73,0,3.09,clear sky
271,Padang,ID,-0.9492,100.3543,75.25,83,100,3.02,light rain
272,Flin Flon,CA,54.7682,-101.865,-0.29,98,99,3.42,overcast clouds
273,Saint George,US,37.1041,-113.5841,32.79,82,69,1.01,broken clouds
274,Terra Nova,BR,-12.3667,-40.6667,71.37,82,100,3.67,overcast clouds
275,Gualaca,PA,8.5333,-82.3,79.39,66,1,0.63,clear sky
276,Jerantut,MY,3.936,102.3626,72.79,93,100,1.79,overcast clouds
277,Yatou,CN,37.15,122.3833,25.2,75,1,7.67,clear sky
278,Terney,RU,45.0503,136.6092,8.89,75,8,10.74,clear sky
279,Konongo,GH,6.6167,-1.2167,98.38,19,75,3.06,broken clouds
280,Coihaique,CL,-45.5752,-72.0662,51.82,79,100,10.45,overcast clouds
281,Saldanha,ZA,-33.0117,17.9442,65.01,59,0,29.73,clear sky
282,College,US,64.8569,-147.8028,4.59,84,99,1.41,overcast clouds
283,Marysville,US,48.0518,-122.1771,43.97,90,100,1.01,overcast clouds
284,Klaksvik,FO,62.2266,-6.589,38.32,61,100,23.58,overcast clouds
285,Gigmoto,PH,13.7796,124.39,78.82,90,78,7.31,broken clouds
286,Parkersburg,US,39.2667,-81.5615,41.94,74,0,5.32,clear sky
287,Sabzevar,IR,36.2126,57.6819,43.34,51,0,5.21,clear sky
288,Bermeo,ES,43.4209,-2.7215,55.6,88,100,6.55,overcast clouds
289,Mocuba,MZ,-16.8392,36.9856,82.72,78,28,6.22,light rain
290,Ulaangom,MN,49.9811,92.0667,-17.1,99,100,1.9,overcast clouds
291,Kavieng,PG,-2.5744,150.7967,80.47,78,100,7.4,light rain
292,Carutapera,BR,-1.195,-46.02,80.87,81,98,5.68,overcast clouds
293,Namibe,AO,-15.1961,12.1522,75.52,68,71,14.23,broken clouds
294,Abha,SA,18.2164,42.5053,55.9,76,48,8.28,light rain
295,Linxia,CN,35.6003,103.2064,23.27,32,0,1.83,clear sky
296,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,95,100,16.35,overcast clouds
297,Volksrust,ZA,-27.3654,29.8818,68.68,61,82,10.54,broken clouds
298,Saint-Leu,RE,-21.15,55.2833,79.66,77,43,5.46,light rain
299,Charlestown,AU,-32.95,151.6667,71.82,94,100,4.85,overcast clouds
300,Usinsk,RU,65.9939,57.5281,-15.36,100,99,5.23,overcast clouds
301,Calama,CL,-22.4667,-68.9333,68.52,23,4,4.03,clear sky
302,La Palma,US,33.8464,-118.0467,57.49,91,100,1.01,overcast clouds
303,Beneditinos,BR,-5.45,-42.3667,92.34,41,19,4.85,few clouds
304,Spisska Nova Ves,SK,48.9446,20.5615,45.59,84,91,6.08,overcast clouds
305,Wamba,NG,8.9333,8.6,95.72,10,3,5.37,clear sky
306,Lasa,IT,46.6166,10.7002,41.36,91,97,3.96,overcast clouds
307,Minador Do Negrao,BR,-9.3053,-36.8647,89.37,37,12,10.42,few clouds
308,Chicama,PE,-7.8447,-79.1469,72.93,74,44,4.05,scattered clouds
309,Turukhansk,RU,65.8167,87.9833,0.41,92,100,6.6,overcast clouds
310,Udachnyy,RU,66.4167,112.4,-25.47,99,100,6.38,overcast clouds
311,Arlit,NE,18.7369,7.3853,77.0,17,94,3.62,overcast clouds
312,Samarai,PG,-10.6167,150.6667,80.31,81,100,6.17,overcast clouds
313,Luderitz,NA,-26.6481,15.1594,81.9,42,0,37.31,clear sky
314,Ibipeba,BR,-11.6408,-42.0111,77.97,65,74,9.17,broken clouds
315,San Policarpo,PH,12.1791,125.5072,79.75,87,11,8.23,few clouds
316,Yerbogachen,RU,61.2767,108.0108,-25.58,97,67,5.88,broken clouds
317,Tahta,EG,26.7693,31.5021,70.03,23,0,13.27,clear sky
318,Athni,IN,16.7333,75.0667,80.42,37,0,8.41,clear sky
319,Kurilsk,RU,45.2333,147.8833,26.33,82,100,9.98,light snow
320,Villa Del Rosario,CO,7.8339,-72.4742,79.84,64,30,2.04,scattered clouds
321,Ambilobe,MG,-13.2,49.05,78.75,79,99,2.15,light rain
322,Bengkulu,ID,-3.8004,102.2655,75.07,88,100,8.55,overcast clouds
323,Marquette,US,46.5333,-87.6335,33.76,87,90,7.81,overcast clouds
324,Te Anau,NZ,-45.4167,167.7167,50.38,97,99,3.78,overcast clouds
325,Sosnovoborsk,RU,56.1325,93.3589,4.98,96,99,2.66,overcast clouds
326,Zyryanka,RU,65.75,150.85,-40.74,100,73,3.47,broken clouds
