City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Mount Gambier,AU,2022-12-22 00:21:02,-37.8333,140.7667,75.54,50,38,3.85
122,Krasnoselkup,RU,2022-12-22 00:21:02,65.7,82.4667,-29.47,100,98,5.93
123,Chernyshevskiy,RU,2022-12-22 00:21:02,63.0128,112.4714,-21.84,97,96,3.27
124,Anchorage,US,2022-12-22 00:19:03,61.2181,-149.9003,14.88,86,0,8.01
125,Beidao,CN,2022-12-22 00:21:03,34.5686,105.8933,28.06,43,2,1.57
126,Tuatapere,NZ,2022-12-22 00:21:03,-46.1333,167.6833,67.75,58,51,5.55
127,Ossora,RU,2022-12-22 00:21:04,59.2353,163.0719,25.48,74,100,34.54
128,Satara,IN,2022-12-22 00:21:04,17.6833,73.9833,63.72,55,1,2.3
129,Fukue,JP,2022-12-22 00:21:04,32.6881,128.8419,43.16,81,20,10.36
130,Nakanojo,JP,2022-12-22 00:21:04,36.5833,138.85,39.63,94,100,5.41
131,Puerto Ayora,EC,2022-12-22 00:21:05,-0.7393,-90.3518,72.55,95,29,1.99
132,Guadalupe Y Calvo,MX,2022-12-22 00:21:05,26.1,-106.9667,47.64,38,19,4.23
133,Vestmannaeyjar,IS,2022-12-22 00:21:06,63.4427,-20.2734,31.78,48,16,9.1
134,Dicabisagan,PH,2022-12-22 00:21:06,17.0818,122.4157,75.07,84,100,11.32
135,Castro,BR,2022-12-22 00:21:06,-24.7911,-50.0119,57.72,95,32,6.49
136,Port Alfred,ZA,2022-12-22 00:21:07,-33.5906,26.891,64.18,84,20,5.01
137,Ponta Do Sol,PT,2022-12-22 00:22:07,32.6667,-17.1,66.7,83,82,2.55
138,Tucumcari,US,2022-12-22 00:22:08,35.1717,-103.725,51.64,19,0,12.66
139,Lima,PE,2022-12-22 00:19:19,-12.0432,-77.0282,76.89,71,20,17.27
140,Kaitangata,NZ,2022-12-22 00:22:08,-46.2817,169.8464,65.35,58,11,14.83
141,Pevek,RU,2022-12-22 00:22:08,69.7008,170.3133,3.36,68,1,1.59
142,Sumbe,AO,2022-12-22 00:22:09,-11.2061,13.8437,74.44,83,92,6.38
143,East London,ZA,2022-12-22 00:22:09,-33.0153,27.9116,65.66,74,28,20.92
144,Provideniya,RU,2022-12-22 00:22:09,64.3833,-173.3,17.71,73,40,40.26
145,Papar,MY,2022-12-22 00:22:10,5.7333,115.9333,77.0,83,91,4.32
146,Faanui,PF,2022-12-22 00:22:10,-16.4833,-151.75,81.32,76,100,19.53
147,Vila Franca Do Campo,PT,2022-12-22 00:22:10,37.7167,-25.4333,67.19,91,97,17.45
148,Waipawa,NZ,2022-12-22 00:22:11,-41.4122,175.5153,56.46,92,100,5.32
149,New Norfolk,AU,2022-12-22 00:22:11,-42.7826,147.0587,68.72,49,100,1.99
150,Laguna,US,2022-12-22 00:22:11,38.421,-121.4238,50.02,86,100,4.61
151,Yulara,AU,2022-12-22 00:22:12,-25.2406,130.9889,75.52,46,100,17.98
152,Hasaki,JP,2022-12-22 00:22:12,35.7333,140.8333,48.6,87,100,22.12
153,Vanimo,PG,2022-12-22 00:22:12,-2.6741,141.3028,80.2,84,100,3.04
154,Barrow,US,2022-12-22 00:22:13,71.2906,-156.7887,-0.38,78,75,14.97
155,Makakilo City,US,2022-12-22 00:22:13,21.3469,-158.0858,80.92,63,75,13.8
156,Aykhal,RU,2022-12-22 00:22:14,66.0,111.5,-30.93,100,89,7.85
157,Airai,TL,2022-12-22 00:22:14,-8.9266,125.4092,66.42,77,96,2.93
158,Hobart,AU,2022-12-22 00:20:20,-42.8794,147.3294,69.06,54,75,6.91
159,La Rioja,ES,2022-12-22 00:20:00,42.25,-2.5,38.98,91,100,6.31
160,Amahai,ID,2022-12-22 00:22:15,-3.3333,128.9167,83.44,68,98,3.02
161,Plomarion,GR,2022-12-22 00:22:15,38.9767,26.3681,46.35,62,0,4.0
162,Loreto,MX,2022-12-22 00:22:15,22.2667,-101.9667,63.21,31,100,6.82
163,Carballo,ES,2022-12-22 00:22:15,43.213,-8.691,60.87,88,89,10.07
164,Dzhebariki-Khaya,RU,2022-12-22 00:22:16,62.2167,135.8,-20.31,95,100,1.43
165,Samarai,PG,2022-12-22 00:22:16,-10.6167,150.6667,84.52,73,95,10.83
166,Sao Joao Da Barra,BR,2022-12-22 00:22:17,-21.6403,-41.0511,73.49,89,19,15.68
167,Atbasar,KZ,2022-12-22 00:22:17,51.8,68.3333,4.08,95,99,9.69
168,Flinders,AU,2022-12-22 00:22:18,-34.5833,150.8552,73.18,61,98,7.0
169,Port Hardy,CA,2022-12-22 00:22:18,50.6996,-127.4199,24.98,63,75,14.97
170,Hovd,MN,2022-12-22 00:22:18,48.0056,91.6419,8.96,72,42,4.0
171,Kousseri,CM,2022-12-22 00:22:19,12.0769,15.0306,66.16,42,68,4.61
172,Cape Town,ZA,2022-12-22 00:22:15,-33.9258,18.4232,72.37,73,0,3.44
173,Chuy,UY,2022-12-22 00:22:19,-33.6971,-53.4616,65.66,78,37,10.02
174,Tosno,RU,2022-12-22 00:22:20,59.54,30.8775,37.22,99,100,8.43
175,Puerto Lopez,CO,2022-12-22 00:22:20,4.0845,-72.956,80.29,61,63,3.69
176,Mezen,RU,2022-12-22 00:22:21,65.8522,44.24,16.66,95,100,8.32
177,Chara,RU,2022-12-22 00:22:21,56.9064,118.2631,-25.76,79,8,0.4
178,Luena,AO,2022-12-22 00:22:21,-11.7833,19.9167,62.02,98,100,3.65
179,Mae Sai,TH,2022-12-22 00:22:22,20.4335,99.8762,63.57,93,52,0.22
180,Whyalla,AU,2022-12-22 00:22:22,-33.0333,137.5833,70.72,68,39,15.88
181,Chapais,CA,2022-12-22 00:22:22,49.7834,-74.8492,4.78,95,100,6.29
182,Luancheng,CN,2022-12-22 00:22:23,37.8792,114.6517,19.56,23,0,3.98
183,Omboue,GA,2022-12-22 00:22:23,-1.5746,9.2618,75.81,89,100,4.59
184,Dikson,RU,2022-12-22 00:22:24,73.5069,80.5464,-25.49,93,100,5.7
185,Gulariya,NP,2022-12-22 00:23:24,28.2333,81.3333,51.13,74,0,4.88
186,Souillac,MU,2022-12-22 00:23:25,-20.5167,57.5167,71.98,88,20,4.61
187,Atuntaqui,EC,2022-12-22 00:23:25,0.3333,-78.2167,56.12,93,83,1.7
188,Una,IN,2022-12-22 00:23:25,20.8167,71.0333,69.93,30,0,7.87
189,Yamethin,MM,2022-12-22 00:23:26,20.4333,96.15,66.54,79,56,2.24
190,Smithers,CA,2022-12-22 00:23:26,54.7804,-127.1743,-19.88,69,20,0.0
191,Padang,ID,2022-12-22 00:23:26,-0.9492,100.3543,75.25,81,98,3.65
192,Alegrete,BR,2022-12-22 00:23:27,-29.7831,-55.7919,79.74,44,6,19.62
193,Ancud,CL,2022-12-22 00:23:27,-41.8697,-73.8203,62.76,66,38,18.19
194,Atambua,ID,2022-12-22 00:23:27,-9.1061,124.8925,78.53,73,99,2.17
195,Bull Savanna,JM,2022-12-22 00:23:28,17.8868,-77.5902,74.03,81,5,6.98
196,Umea,SE,2022-12-22 00:23:28,63.8284,20.2597,28.9,93,100,0.0
197,Viseu,PT,2022-12-22 00:23:28,40.661,-7.9097,57.85,97,100,6.08
198,Soe,ID,2022-12-22 00:23:29,-9.8607,124.284,72.93,78,95,5.28
199,Petropavlovsk-Kamchatskiy,RU,2022-12-22 00:23:29,53.0452,158.6483,36.19,65,75,20.13
200,Semnan,IR,2022-12-22 00:23:29,35.5729,53.3971,38.55,61,100,1.92
201,Buraydah,SA,2022-12-22 00:22:12,26.326,43.975,59.45,34,74,8.21
202,Severomorsk,RU,2022-12-22 00:23:30,69.0689,33.4162,19.8,95,94,3.62
203,Shimoda,JP,2022-12-22 00:23:30,34.6667,138.95,49.1,93,100,8.12
204,Crestview,US,2022-12-22 00:19:54,30.7621,-86.5705,51.24,92,100,3.0
205,Centerville,US,2022-12-22 00:23:30,39.6284,-84.1594,36.45,68,0,3.44
206,Glenwood Springs,US,2022-12-22 00:20:13,39.5505,-107.3248,34.61,79,100,25.32
207,Port Augusta,AU,2022-12-22 00:23:31,-32.5,137.7667,74.95,62,85,16.08
208,Zhongshu,CN,2022-12-22 00:23:31,24.5167,103.7667,43.54,94,98,2.59
209,San Cristobal,VE,2022-12-22 00:23:32,7.7669,-72.225,71.78,88,13,0.2
210,Manokwari,ID,2022-12-22 00:23:32,-0.8667,134.0833,81.48,75,85,0.4
211,Alofi,NU,2022-12-22 00:23:33,-19.0595,-169.9187,84.09,74,75,16.11
212,Chumikan,RU,2022-12-22 00:23:33,54.7183,135.315,-3.41,92,99,13.56
213,Sioux Lookout,CA,2022-12-22 00:23:33,50.1001,-91.917,-11.13,77,75,0.0
214,Narsaq,GL,2022-12-22 00:23:34,60.9167,-46.05,10.62,64,0,8.81
215,Hobyo,SO,2022-12-22 00:23:34,5.3505,48.5268,77.79,78,96,17.34
216,Saskylakh,RU,2022-12-22 00:23:34,71.9167,114.0833,-29.0,93,7,11.39
217,Vao,NC,2022-12-22 00:23:35,-22.6667,167.4833,76.32,79,98,12.68
218,Iqaluit,CA,2022-12-22 00:23:35,63.7506,-68.5145,-6.07,77,40,2.3
219,Bambous Virieux,MU,2022-12-22 00:23:35,-20.3428,57.7575,73.22,88,20,4.61
220,Saint-Pierre,RE,2022-12-22 00:23:36,-21.3393,55.4781,73.9,64,0,4.61
221,Tsotilion,GR,2022-12-22 00:23:36,40.2667,21.3167,26.42,78,13,1.03
222,Nobeoka,JP,2022-12-22 00:23:36,32.5833,131.6667,44.98,85,61,8.52
223,Matara,LK,2022-12-22 00:23:37,5.9485,80.5353,74.75,91,97,4.25
224,Hvolsvollur,IS,2022-12-22 00:23:37,63.7533,-20.2243,25.47,51,2,14.76
225,Pisco,PE,2022-12-22 00:23:38,-13.7,-76.2167,69.85,83,0,19.57
226,Azatavan,AM,2022-12-22 00:23:39,39.9832,44.5053,34.0,77,11,3.31
227,Salym,RU,2022-12-22 00:23:39,60.0625,71.4789,-21.66,97,80,5.12
228,Bloomfield,US,2022-12-22 00:23:08,40.8068,-74.1854,37.85,67,0,0.0
229,Along,IN,2022-12-22 00:23:39,28.1667,94.7667,50.13,76,43,1.34
230,Auki,SB,2022-12-22 00:23:40,-8.7676,160.7034,84.99,70,46,2.15
231,Thinadhoo,MV,2022-12-22 00:24:40,0.5333,72.9333,81.25,71,93,14.67
232,Yumen,CN,2022-12-22 00:24:40,40.2833,97.2,18.93,59,86,10.96
233,Torbay,CA,2022-12-22 00:24:41,47.6666,-52.7314,33.39,90,100,14.97
234,Bosaso,SO,2022-12-22 00:24:41,11.2842,49.1816,73.44,85,18,2.57
235,Nuuk,GL,2022-12-22 00:24:42,64.1835,-51.7216,12.52,72,18,6.49
236,Vanderhoof,CA,2022-12-22 00:24:42,54.0166,-124.0198,-18.92,97,40,2.39
